name,full name,overall,club,league,nation,age,height,weight,foot,pac,acceleration,sprint speed,dri,agility,balance,reactions,ball control,dribbling,composure,sho,positioning,finishing,shot power,long_shots,volleys,penalties,defending,interceptions,heading accuracy,marking,standing tackle,sliding tackle,pas,vision,crossing,free kick accuracy,short passing,long passing,curve,phy,jumping,stamina,strength,aggression
moreno,dayro moreno,76,atletico nacional,liga dimayor,colombia,32,177,73,right,72,74,71,74,74,69,81,76,73,78,78,77,78,81,77,79,80,32,41,69,22,27,24,69,70,69,74,69,62,75,65,51,76,67,52
tarasov,dmitriy tarasov,76,lokomotiv moscow,russian football premier league,russia,31,192,84,right,60,53,65,69,62,43,69,73,71,74,55,59,48,64,66,38,52,76,76,78,77,75,73,67,65,59,50,76,73,42,82,75,75,84,85
isla,mauricio isla,76,fenerbahce sk,super lig,chile,29,176,75,right,77,80,75,76,85,78,74,75,76,74,59,72,50,65,67,58,71,71,75,52,71,72,76,75,70,80,64,75,74,80,73,61,84,68,76
wanderson,wanderson do carmo carneiro,76,dinamo moscow,super lig,brazil,32,180,75,right,72,72,72,76,75,66,75,82,74,80,78,74,78,83,80,73,69,21,14,68,16,15,19,73,71,67,68,78,74,75,62,69,72,59,57
chahechouhe,aatif chahechouhe,76,fenerbahce sk,super lig,morocco,31,176,68,right,78,79,77,78,82,73,74,78,80,70,76,74,76,78,74,77,85,33,40,63,26,27,24,71,70,70,63,75,68,69,60,58,74,62,39
maicon,maicon marques bittencourt,76,antalyaspor,super lig,brazil,28,183,73,right,91,93,90,72,85,64,74,68,72,66,69,75,71,74,62,62,65,32,33,74,24,29,21,69,63,76,38,73,72,64,71,73,79,70,63
meggiorini,riccardo meggiorini,76,chievo verona,calcio a,italy,32,182,78,left,76,76,76,77,78,74,76,78,76,78,71,80,76,70,60,70,73,29,23,73,22,28,24,67,74,62,60,72,54,70,70,76,74,78,45
heurtaux,thomas heurtaux,76,hellas verona,calcio a,france,29,183,78,right,65,65,65,57,59,60,71,61,50,70,43,41,40,60,36,45,39,78,78,73,77,80,78,49,38,40,31,59,63,40,73,78,60,77,78
serey die,sereso geoffroy gonzaroua die,76,fc basel,raiffeisen super league,cote d'ivoire,33,179,77,right,67,71,63,72,81,81,72,72,68,75,48,58,43,62,46,43,50,76,76,64,77,79,76,64,60,56,55,72,68,59,79,80,81,73,89
mehmedi,admir mehmedi,76,bayer 04 leverkusen,bundesliga,switzerland,27,183,78,right,76,75,76,78,79,78,78,77,80,71,76,78,74,81,74,77,69,39,42,60,29,40,36,71,74,69,62,74,62,73,71,64,75,71,68
michel macedo,michel macedo rocha machado,76,ud las palmas,laliga santander,brazil,28,176,70,right,87,83,91,73,88,76,69,71,73,65,51,67,52,59,45,39,33,70,76,61,63,75,78,67,60,68,29,78,63,56,80,85,87,75,80
brosinski,daniel brosinski,76,1. fsv mainz 05,bundesliga,germany,29,178,70,right,85,85,85,73,77,76,75,71,74,68,60,67,54,65,63,59,77,72,68,68,73,75,75,71,59,78,70,71,73,80,70,76,85,62,71
fornaroli,bruno fornaroli,76,melbourne city,hyundai a-league,uruguay,30,174,68,right,78,80,77,76,79,80,76,76,74,80,74,80,78,74,63,71,74,38,36,66,29,40,37,64,70,56,72,68,49,73,73,70,73,76,65
santon,davide santon,76,inter,calcio a,italy,27,186,83,right,76,73,78,72,66,57,74,74,74,74,58,63,46,74,68,57,57,74,73,65,74,77,76,70,64,76,43,73,69,74,74,74,76,74,69
victor vazquez,victor vazquez solsona,76,toronto fc,major league soccer,spain,31,176,76,right,43,52,35,76,69,74,80,78,75,80,69,76,66,69,72,69,72,43,52,38,36,50,28,78,82,74,74,80,76,77,58,40,66,58,55
cresswell,aaron cresswell,76,west ham united,premier league,england,28,170,66,left,76,75,76,76,77,90,68,75,76,72,59,63,53,71,62,45,59,73,71,58,76,75,77,72,68,80,69,72,68,76,68,85,82,59,68
cleverley,tom cleverley,76,watford,premier league,england,28,175,67,right,67,64,70,75,72,77,77,77,74,69,69,74,64,74,75,68,72,58,65,48,47,71,52,75,77,74,62,78,77,59,65,62,73,58,71
eder,eder macedo lopes,76,lokomotiv moscow,russian football premier league,portugal,30,188,86,right,76,76,76,73,75,61,75,72,75,76,76,75,75,81,74,72,73,44,47,73,34,45,38,66,70,64,41,70,63,67,81,74,76,83,83
de jong,luuk de jong,76,psv,eredivisie,holland,27,188,89,right,55,50,59,67,60,57,74,73,64,72,74,81,75,80,69,76,60,41,25,90,39,40,37,69,72,67,65,74,58,63,71,80,75,79,42
ravet,yoric ravet,76,sport-club freiburg,bundesliga,france,28,178,72,right,85,83,87,72,78,66,76,71,72,73,72,70,70,82,76,59,48,37,40,50,36,33,35,74,73,76,58,75,74,74,67,53,83,73,35
sertic,gregory sertic,76,olympique de marseille,ligue 1 conforama,france,28,183,76,right,67,65,69,71,65,65,74,76,70,70,70,71,60,84,77,65,71,72,73,67,72,74,71,75,71,72,73,78,78,72,73,69,74,72,76
jantschke,tony jantschke,76,borussia monchengladbach,bundesliga,germany,27,177,76,right,64,65,64,68,68,75,81,69,63,83,41,52,35,48,44,37,51,81,83,66,83,83,81,64,57,61,50,72,70,43,74,84,77,71,77
caruzzo,matias caruzzo,76,san lorenzo de almagro,primera division,argentina,33,185,80,right,53,51,54,45,70,49,76,61,22,70,32,33,36,25,25,21,57,76,78,71,82,74,70,57,59,46,64,61,58,55,80,72,80,80,81
xandao,alexandre luiz reame,76,r. sporting,alka superliga,brazil,30,193,84,right,51,46,55,57,49,36,71,61,56,68,42,43,35,64,39,38,41,75,80,74,73,75,72,53,48,40,43,65,59,42,79,66,61,90,75
gross,pascal gross,76,brighton & hove albion,premier league,germany,26,181,76,right,65,67,64,73,68,73,73,76,72,71,67,68,65,74,68,61,57,62,71,53,58,64,63,78,76,78,77,79,76,81,75,72,86,74,66
pekarik,peter pekarik,76,hertha bsc,bundesliga,slovakia,31,176,70,right,74,75,74,74,73,77,76,76,73,73,39,54,29,56,37,35,49,73,69,42,79,78,81,66,49,74,39,75,64,67,69,64,78,66,66
theophile-catherine,kevin theophile-catherine,76,as saint-etienne,ligue 1 conforama,france,28,183,84,right,68,71,65,70,69,67,72,72,68,70,50,37,46,60,57,37,45,76,75,72,76,78,74,70,66,72,51,74,69,66,76,72,71,78,78
montero,fredy montero,76,vancouver whitecaps fc,liga nos,colombia,30,176,73,right,72,72,72,78,86,84,74,79,76,75,76,77,75,80,75,79,77,38,40,75,29,36,27,73,73,76,76,72,66,86,62,81,74,58,52
boveda,eneko boveda altube,76,athletic club,laliga santander,spain,29,180,77,right,75,73,76,69,69,66,65,76,65,71,52,58,48,57,51,51,59,76,76,71,76,76,80,66,51,80,38,72,66,66,70,69,75,64,80
lestienne,maxime lestienne,76,rubin kazan,laliga santander,belgium,25,176,63,left,84,85,84,79,84,85,71,75,81,78,72,72,73,71,70,69,69,32,35,47,29,27,34,72,72,70,69,75,71,72,59,73,91,36,71
kike garcia,enrique garcia martinez,76,sd eibar,laliga santander,spain,28,186,79,right,70,66,74,71,65,56,67,76,71,63,74,78,79,77,62,75,70,32,37,78,15,34,21,59,65,53,46,68,49,42,75,74,72,79,71
le marchand,maxime le marchand,76,ogc nice,ligue 1 conforama,france,28,185,77,left,76,75,77,66,67,64,73,68,62,73,38,27,32,56,33,38,42,75,77,69,75,76,75,67,67,54,40,77,78,42,78,78,79,78,79
marc muniesa,marc muniesa martinez,76,girona fc,laliga santander,spain,25,179,72,left,58,51,64,67,62,66,70,73,63,73,43,61,42,46,37,32,50,76,78,70,74,78,77,64,61,67,40,72,56,66,72,83,73,68,78
kashia,guram kashia,76,vitesse,eredivisie,georgia,30,186,87,right,58,49,65,60,55,58,67,67,55,68,27,30,23,43,17,13,51,75,81,79,74,73,72,61,59,51,39,71,66,40,79,79,72,82,80
destro,mattia destro,76,bologna,calcio a,italy,26,178,72,right,75,73,77,74,73,76,68,76,74,76,74,84,80,74,60,70,69,24,20,76,12,22,20,59,58,56,51,68,42,68,67,82,68,68,60
schmiedebach,manuel schmiedebach,76,hannover 96,bundesliga,germany,29,171,70,right,71,75,68,76,79,86,75,76,75,71,47,64,31,68,57,48,49,73,75,54,75,76,70,70,70,67,51,76,73,58,74,85,88,65,78
viergever,nick viergever,76,ajax,eredivisie,holland,28,183,78,left,70,67,73,65,65,67,72,67,63,68,48,55,42,64,48,41,48,76,77,72,75,76,78,61,50,66,36,67,69,45,78,76,86,74,81
souquet,arnaud souquet,76,ogc nice,ligue 1 conforama,france,26,179,73,right,73,74,73,72,66,64,71,77,71,72,47,74,44,56,41,39,49,76,73,64,78,79,77,72,69,75,46,78,72,62,68,65,72,67,66
delort,andy delort,76,toulouse football club,ligue 1 conforama,france,26,182,82,right,76,74,78,73,71,72,69,73,73,73,77,75,78,82,74,76,71,26,23,73,20,20,24,67,68,68,74,73,55,41,76,72,75,80,70
andre almeida,andre gomes magalhaes almeida,76,sl benfica,liga nos,portugal,27,186,80,right,65,64,65,74,67,67,75,76,75,74,52,63,41,68,63,45,43,76,77,71,76,78,76,72,67,79,42,75,75,66,77,77,75,78,79
jansson,pontus jansson,76,leeds united,efl championship,sweden,27,196,89,right,62,54,69,62,53,31,74,66,62,69,42,28,29,68,50,41,39,77,76,70,79,79,75,52,52,29,40,64,59,49,79,54,68,90,72
tomovic,nenad tomovic,76,chievo verona,calcio a,serbia,30,184,81,right,70,69,71,65,66,66,70,68,62,67,38,56,22,70,41,25,41,77,76,68,76,80,80,59,46,70,37,64,66,31,77,74,72,78,80
laguardia,victor laguardia cisneros,76,d. alaves,laliga santander,spain,28,185,75,right,63,58,67,48,53,59,67,57,35,71,40,44,49,35,30,29,32,76,76,71,77,78,75,53,46,42,35,68,56,38,82,78,83,80,89
vukovic,jagos vukovic,76,olympiacos cfp,calcio a,serbia,29,194,82,left,33,32,34,48,34,31,70,53,44,68,46,32,27,74,70,17,44,76,76,80,76,78,71,56,45,56,58,63,61,38,81,78,64,90,79
javi lopez,javier lopez rodriguez,76,rcd espanyol,laliga santander,spain,32,180,76,right,72,69,75,72,68,71,80,75,68,81,53,61,55,57,43,49,56,73,75,60,71,75,82,69,65,70,52,76,61,67,74,73,77,69,84
finnbogason,alfre finnbogason,76,fc augsburg,bundesliga,iceland,29,185,78,right,68,67,68,74,67,71,80,72,75,83,79,85,80,76,77,79,85,32,20,62,28,32,34,62,72,37,51,71,67,56,72,66,73,75,64
torres,macnelly torres,76,atletico nacional,liga dimayor,colombia,33,175,72,right,54,56,53,76,83,73,74,79,73,72,69,75,63,79,77,44,62,36,52,53,11,52,12,78,82,76,61,81,77,75,61,54,66,59,62
regattin,adrien regattin,76,osmanlispor,super lig,morocco,26,166,66,right,79,78,80,79,85,90,72,77,80,74,70,73,65,75,73,71,72,60,63,51,60,62,57,74,73,75,77,74,73,76,67,63,72,60,77
fetfatzidis,ioannis fetfatzidis,76,al ahli,dawry jameel,greece,27,165,61,left,83,90,78,80,91,91,71,82,78,61,64,68,63,64,67,64,65,25,23,25,24,30,20,73,74,74,67,77,63,68,55,43,78,47,50
babacar,khouma babacar,76,fiorentina,calcio a,senegal,25,185,76,right,76,73,78,72,71,60,70,76,72,70,76,77,79,82,62,76,70,28,20,74,20,26,24,55,48,50,60,64,46,64,73,76,69,80,58
ayew,jordan ayew,76,swansea city,premier league,ghana,26,182,81,right,74,75,74,78,79,71,76,78,80,70,74,72,73,76,74,74,74,31,35,76,23,22,25,70,70,70,71,74,60,77,74,72,74,74,75
martin,jonas martin,76,rc strasbourg alsace,ligue 1 conforama,france,27,184,76,right,70,67,72,74,65,63,78,77,73,80,71,68,70,74,71,63,76,67,65,57,63,75,68,76,73,74,67,80,75,72,74,61,79,73,76
djilobodji,papy djilobodji,76,dijon fco,ligue 1 conforama,senegal,29,193,82,left,70,68,71,50,48,47,62,61,42,51,47,38,32,77,66,23,27,75,72,74,71,78,83,52,50,22,60,65,73,27,81,75,68,86,88
ortiz,celso ortiz,76,monterrey,liga bancomer mx,paraguay,29,175,70,left,69,70,68,73,73,76,74,75,71,77,57,69,48,70,64,55,40,74,82,44,73,79,71,66,69,53,43,77,60,63,77,71,87,75,72
ketkeophomphone,billy ketkeophomphone,76,angers sco,ligue 1 conforama,france,27,180,71,right,81,82,81,78,83,72,77,78,78,72,72,78,74,74,69,68,54,26,42,69,15,16,18,74,71,76,77,76,72,71,58,76,70,59,35
murillo,oscar murillo,76,pachuca,liga bancomer mx,colombia,29,183,79,left,70,66,73,51,53,51,70,56,46,48,39,29,42,43,35,22,32,77,79,75,80,77,68,55,44,59,27,61,65,35,78,85,66,83,79
natcho,bibras natcho,76,cska moscow,russian football premier league,israel,30,176,77,right,62,57,66,77,76,79,78,82,73,84,72,68,70,73,74,65,84,70,72,57,73,72,64,79,80,76,76,80,82,75,68,54,66,70,71
mendy,nampalys mendy,76,ogc nice,ligue 1 conforama,france,25,168,68,right,71,72,70,74,78,86,73,78,70,70,55,55,49,62,64,43,55,73,74,65,74,74,75,71,66,67,48,79,73,69,76,79,81,72,79
felipe,felipe dal bello,75,spal,calcio a,brazil,33,188,75,left,43,36,48,53,49,63,72,60,44,68,35,29,20,68,40,19,35,79,81,74,80,80,76,51,46,34,21,62,64,49,66,70,55,69,70
cannavaro,paolo cannavaro,75,sassuolo,alka superliga,italy,36,185,83,right,32,34,31,53,59,43,66,60,45,69,44,35,30,72,51,33,47,76,80,78,74,76,75,52,50,39,24,62,68,24,66,80,36,75,80
moretti,emiliano moretti,75,torino,calcio a,italy,36,182,77,left,42,48,38,57,48,65,70,64,49,76,32,31,16,56,39,27,49,78,84,74,78,76,73,50,31,51,33,59,56,52,67,73,50,73,74
didot,etienne didot,75,en avant de guingamp,ligue 1 conforama,france,34,178,65,right,40,45,36,71,69,75,74,74,69,77,63,67,60,65,65,63,65,71,74,61,72,72,70,78,78,78,73,80,79,69,70,62,69,68,76
bodmer,mathieu bodmer,75,amiens sc,ligue 1 conforama,france,35,190,90,right,34,33,34,73,51,38,73,80,76,78,60,70,50,70,68,64,70,72,70,76,70,74,70,76,81,64,60,80,78,76,72,64,58,81,68
maccarone,massimo maccarone,75,brisbane roar,hyundai a-league,italy,38,180,70,right,69,68,69,76,69,75,72,79,75,79,78,80,80,78,76,76,75,29,21,60,25,27,29,64,65,61,73,69,49,73,62,65,54,70,51
brunt,chris brunt,75,west bromwich albion,premier league,northern ireland,33,185,84,left,59,63,56,74,65,61,74,77,77,65,73,70,67,86,79,58,74,67,67,61,65,71,63,79,74,85,70,78,79,86,67,77,65,66,69
huddlestone,tom huddlestone,75,derby county,efl championship,england,31,188,80,right,43,34,50,67,33,44,73,82,64,80,70,63,60,89,75,79,72,70,74,72,70,68,66,79,84,76,74,81,79,68,71,56,39,87,77
routledge,wayne routledge,75,swansea city,premier league,england,33,170,77,right,72,71,72,80,79,87,73,77,83,69,66,72,69,68,55,71,63,36,39,34,30,37,46,70,74,74,28,73,72,61,61,71,68,67,36
aquilani,alberto aquilani,75,ud las palmas,laliga santander,italy,33,186,79,right,54,53,55,75,75,60,67,79,75,76,70,65,61,81,77,75,70,60,65,66,53,61,58,80,82,78,75,80,81,80,62,68,53,67,61
altintop,hamit altintop,75,sv darmstadt 98,alka superliga,turkey,35,183,82,right,51,48,53,76,67,68,78,79,75,84,70,65,62,81,80,72,71,69,70,60,68,74,67,77,78,74,72,79,82,64,69,55,58,74,76
dawson,michael dawson,75,hull city,efl championship,england,34,188,76,right,29,31,28,39,50,52,72,57,17,70,33,35,25,62,21,23,44,76,75,80,77,77,73,44,43,19,11,56,71,23,74,80,54,80,80
hallfresson,emil hallfresson,75,udinese,calcio a,iceland,33,185,83,left,67,67,67,73,63,69,70,77,74,75,64,68,51,80,76,64,69,70,75,66,66,72,68,76,74,72,72,79,77,74,75,69,70,77,76
schaars,stijn schaars,75,sc heerenveen,eredivisie,holland,34,177,70,left,34,36,32,69,57,65,72,74,68,82,67,63,61,75,70,67,76,68,80,63,64,67,69,78,76,77,76,78,84,75,67,40,68,67,72
brienza,franco brienza,75,bari,calcio b,italy,38,168,67,left,67,72,63,82,82,91,76,84,80,78,68,70,56,78,78,74,79,53,68,33,46,54,58,79,83,76,75,80,76,80,48,50,54,44,50
johnson,glen johnson,75,stoke city,premier league,england,33,182,70,right,71,74,69,76,72,67,74,77,78,72,63,69,54,79,70,56,60,73,68,68,75,76,77,72,69,75,54,75,70,69,72,77,71,72,71
walters,jonathan walters,75,burnley,premier league,republic of ireland,34,183,79,right,63,62,64,72,73,68,77,73,72,73,73,76,75,75,69,67,74,59,61,76,56,58,49,70,69,74,56,73,63,64,82,75,84,83,81
rigoni,luca rigoni,75,genoa,calcio a,italy,33,185,76,right,69,68,69,71,62,58,75,75,70,76,67,70,61,79,75,60,51,71,73,69,69,74,70,72,73,65,59,78,76,49,73,72,77,70,76
maggio,christian maggio,75,napoli,calcio a,italy,36,184,79,right,74,73,75,73,73,67,76,77,70,78,69,74,67,75,69,79,57,70,67,74,65,75,75,70,58,77,55,74,72,71,76,89,78,76,72
mavuba,rio mavuba,75,sparta praha,ceska liga,france,34,172,72,right,60,60,60,69,66,80,73,73,65,68,52,49,42,68,61,38,57,74,76,66,75,75,74,70,64,66,62,76,73,58,74,77,75,73,76
young,ashley young,75,manchester united,premier league,england,32,175,65,right,77,79,76,78,81,77,79,79,78,65,69,68,65,75,70,73,65,65,67,54,64,68,63,77,75,84,72,77,69,86,61,57,73,57,58
mcgeady,aiden mcgeady,75,sunderland,efl championship,republic of ireland,31,177,71,right,77,78,76,81,91,75,72,81,82,73,71,70,66,75,77,70,77,42,51,60,34,41,29,72,68,76,74,73,69,77,62,57,64,58,72
babel,ryan babel,75,besiktas jk,super lig,holland,31,185,85,right,81,83,79,79,77,74,71,78,82,75,73,71,66,85,79,67,70,34,34,69,33,28,21,67,67,69,47,71,60,70,70,81,66,75,58
marveaux,sylvain marveaux,75,fc lorient,dominos ligue 2,france,31,172,66,left,71,79,65,76,80,84,72,77,75,76,71,57,70,77,72,72,73,52,35,55,57,60,49,76,77,75,79,77,76,74,63,63,72,58,63
asare,nana asare,75,kaa gent,belgium pro league,ghana,31,172,65,left,79,80,78,77,82,83,76,77,74,80,59,69,53,62,67,61,66,76,82,65,75,76,74,73,75,72,65,74,73,68,71,89,83,62,76
schwegler,pirmin schwegler,75,hannover 96,bundesliga,switzerland,31,178,74,right,42,53,33,74,74,74,74,74,73,81,68,68,61,77,77,65,66,72,78,68,67,73,73,76,78,71,74,79,78,60,68,76,72,66,65
pisculichi,leonardo pisculichi,75,argentinos juniors,primera division,argentina,34,175,65,left,70,72,69,76,76,76,70,77,76,76,70,65,64,79,77,67,78,33,50,62,20,29,23,78,77,80,78,78,74,80,59,72,61,56,61
silvestre,matias silvestre,75,sampdoria,calcio a,italy,33,185,84,right,48,40,54,56,62,58,63,62,48,65,47,47,32,72,57,36,53,76,71,79,76,79,75,56,50,37,55,64,68,56,72,88,60,77,69
trashorras,roberto trashorras gayoso,75,rayo vallecano,alka superliga,spain,37,179,71,right,36,40,32,66,45,57,69,80,62,66,65,63,59,71,73,59,80,68,75,59,67,67,66,77,78,69,80,80,77,80,70,43,75,70,71
kalachev,timofey kalachev,75,fc rostov,russian football premier league,belarus,36,173,69,right,71,74,69,75,71,83,71,76,75,69,71,71,71,70,73,60,71,69,77,46,69,70,72,77,74,80,77,77,76,78,64,70,68,56,76
amorebieta,fernando amorebieta,75,independiente,primera division,venezuela,32,191,83,left,31,32,30,49,30,35,68,57,45,69,47,29,39,68,42,54,57,74,72,75,73,74,81,54,54,54,35,60,52,42,83,63,75,87,88
ivanov,oleg ivanov,75,akhmat grozny,russian football premier league,russia,31,192,86,right,69,69,69,73,56,42,79,79,76,66,70,65,68,75,71,65,65,62,55,66,63,64,60,75,81,75,65,76,75,63,80,62,81,82,80
angeleri,marcos angeleri,75,san lorenzo de almagro,primera division,argentina,34,182,76,right,65,67,64,56,63,55,78,58,49,79,46,40,37,71,41,42,56,74,71,65,74,79,76,56,46,60,47,58,65,56,79,82,75,79,84
kaboul,younes kaboul,75,watford,premier league,france,32,193,87,right,52,46,57,55,53,46,66,59,52,65,44,51,21,82,56,34,54,74,74,80,72,75,74,56,51,56,43,64,54,44,79,78,67,85,81
larsson,sebastian larsson,75,hull city,efl championship,sweden,32,178,70,right,55,55,55,74,65,75,76,77,74,75,76,70,72,81,79,74,78,62,59,66,64,61,60,80,78,90,84,76,74,86,73,70,79,67,82
wright-phillips,bradley wright-phillips,75,new york red bulls,major league soccer,england,33,173,70,right,73,73,73,70,74,78,82,70,67,77,76,82,82,75,67,71,67,29,42,65,19,24,15,58,64,54,50,62,45,61,68,76,75,65,65
refaelov,lior refaelov,75,club brugge kv,belgium pro league,israel,31,175,70,right,67,69,65,78,76,73,72,78,80,76,74,78,74,71,76,75,74,25,29,43,16,25,26,73,77,71,67,74,69,73,50,66,59,49,38
ward,stephen ward,75,burnley,premier league,republic of ireland,32,184,82,left,67,66,67,69,66,63,76,71,69,68,59,58,58,63,54,66,62,74,74,70,74,76,75,68,64,72,55,71,68,69,78,72,82,77,75
shishkin,roman shishkin,75,fc krasnodar,russian football premier league,russia,31,177,71,right,75,77,73,71,77,72,75,75,66,67,61,60,61,64,65,37,56,73,75,57,76,74,76,73,69,75,71,74,73,70,66,74,73,59,73
elm,rasmus elm,75,kalmar ff,allsvenskan,sweden,30,184,75,right,51,54,48,74,72,72,82,79,69,86,69,70,60,78,74,77,84,64,77,62,63,60,58,80,83,79,85,78,80,85,58,47,36,69,62
zeca,jose carlos goncalves rodrigues,75,fc kbenhavn,alka superliga,greece,29,180,68,right,76,78,75,75,75,74,75,78,73,75,65,67,63,70,64,65,61,69,68,55,66,76,71,74,72,74,65,78,74,66,74,66,86,67,80
milicevic,danijel milicevic,75,kaa gent,ligue 1 conforama,bosnia and herzegovina,32,171,63,right,69,72,67,74,76,80,72,75,71,78,74,75,73,75,77,76,66,31,38,41,29,25,30,78,77,80,82,76,77,79,52,59,73,47,39
omar ramos,julian omar ramos suarez,75,cd leganes,laliga santander,spain,30,175,66,left,78,79,77,78,85,79,65,75,81,70,65,69,63,62,70,54,73,32,30,46,27,32,35,74,76,78,61,74,67,84,59,67,67,55,58
floccari,sergio floccari,75,spal,calcio a,italy,36,180,79,right,66,64,68,72,67,70,68,74,72,76,76,79,81,76,68,66,72,24,20,76,16,20,16,60,60,56,60,68,48,66,68,83,68,75,48
simpson,danny simpson,75,leicester city,premier league,england,31,177,78,right,69,70,68,67,65,80,76,69,64,67,38,58,27,37,54,50,54,77,77,71,78,77,76,61,63,68,32,64,60,44,76,79,79,72,79
daniels,charlie daniels,75,bournemouth,premier league,england,31,178,75,left,76,77,75,73,73,72,70,74,73,68,53,71,48,68,46,32,72,72,71,64,72,76,74,72,71,74,68,73,69,67,70,78,79,72,51
eschenko,andrey eschenko,75,spartak moscow,russian football premier league,russia,34,176,77,right,80,78,81,69,78,86,73,73,62,76,57,65,61,56,50,39,55,72,74,66,70,74,76,68,69,73,49,69,70,50,72,50,82,67,76
spolli,nicolas spolli,75,genoa,calcio a,argentina,35,193,90,right,41,32,49,46,32,32,60,49,45,73,39,20,36,72,22,35,33,78,79,78,79,78,74,34,25,25,18,45,45,19,75,68,45,92,73
ayala,hugo ayala,75,tigres u.a.n.l.,liga bancomer mx,mexico,30,183,81,right,63,66,60,60,63,52,77,67,51,75,55,44,52,65,57,46,55,76,76,71,76,78,78,60,55,61,41,66,62,46,72,67,74,74,64
mcarthur,james mcarthur,75,crystal palace,premier league,scotland,30,178,66,right,62,65,60,72,72,78,77,77,66,77,60,73,56,65,61,51,67,72,78,66,70,74,70,72,71,66,61,78,74,54,76,61,78,73,86
de la bella,alberto de la bella madueno,75,real sociedad,laliga santander,spain,32,182,82,left,60,58,61,69,64,57,75,74,67,66,52,58,45,57,68,32,49,78,80,71,78,77,79,69,61,74,38,74,71,67,68,66,67,70,65
manu garcia,manuel garcia sanchez,75,d. alaves,laliga santander,spain,31,182,74,left,59,53,64,64,66,65,74,67,59,72,60,58,60,74,46,42,71,72,79,67,62,78,72,66,58,65,54,75,69,52,81,79,78,78,91
surman,andrew surman,75,bournemouth,premier league,england,31,178,73,left,61,62,60,72,63,72,69,74,72,73,64,65,63,67,65,55,67,64,65,59,62,68,62,75,76,68,68,82,76,61,71,71,77,69,68
siqueira,guilherme madalena siqueira,75,atletico madrid,alka superliga,brazil,31,183,76,left,72,69,75,73,69,58,75,75,75,66,62,57,56,80,59,45,82,73,76,68,70,74,80,71,58,80,68,68,80,82,70,75,65,69,80
feilhaber,benny feilhaber,75,sporting kansas city,major league soccer,united states,33,175,72,right,63,64,63,77,81,78,77,79,74,80,69,68,64,76,70,74,78,62,58,56,60,68,63,74,76,69,74,76,73,76,69,61,76,66,72
dyer,nathan dyer,75,swansea city,premier league,england,30,167,62,right,83,85,82,79,85,93,67,77,80,67,72,72,73,75,74,52,70,38,35,32,33,45,48,67,66,64,42,74,65,58,63,72,72,55,69
joselu,jose luis sanmartin mato,75,newcastle united,premier league,spain,27,192,80,right,62,61,63,72,67,53,74,76,74,65,75,78,75,77,71,75,72,26,19,80,17,24,15,64,68,58,71,70,49,76,67,64,68,71,57
adrian,adrian lopez alvarez,75,rc deportivo,laliga santander,spain,30,183,73,right,66,68,65,80,74,64,75,84,82,66,73,78,74,74,69,74,67,27,32,68,21,19,16,67,71,60,57,73,55,76,63,74,53,68,58
castro,gonzalo castro,75,malaga cf,laliga santander,uruguay,33,178,70,left,72,74,70,80,77,82,80,80,80,77,70,79,71,72,69,63,64,37,40,55,23,42,37,71,73,76,69,72,58,72,57,68,57,58,53
bungert,niko bungert,75,1. fsv mainz 05,bundesliga,germany,31,188,75,right,64,62,65,53,60,62,78,55,44,73,40,35,35,59,33,36,42,78,76,77,78,80,77,52,37,42,48,68,60,30,69,69,65,75,60
chygrynskyi,dmytro chygrynskyi,75,aek athens,hellas liga,ukraine,31,189,85,right,50,48,52,46,40,42,68,58,35,67,39,36,32,53,42,32,38,76,74,76,77,78,73,59,59,40,48,69,72,43,78,55,66,87,76
marrugo,christian marrugo,75,puebla,liga bancomer mx,colombia,32,177,75,right,71,72,70,73,71,68,76,75,72,75,68,75,66,70,68,70,63,52,54,58,51,51,49,75,78,73,57,78,76,58,59,33,67,59,57
missiroli,simone missiroli,75,sassuolo,calcio a,italy,31,191,77,right,67,66,68,72,63,36,75,76,74,73,66,75,66,68,61,66,64,66,73,60,60,71,63,72,72,68,60,76,72,68,66,64,78,62,60
beck,andreas beck,75,vfb stuttgart,bundesliga,germany,31,180,74,right,71,73,69,74,73,71,76,74,74,75,46,47,29,70,62,32,42,75,74,71,78,75,73,70,59,72,65,75,71,77,71,66,78,67,74
toivonen,ola toivonen,75,toulouse football club,ligue 1 conforama,sweden,31,192,78,right,53,51,54,73,64,52,75,76,74,76,76,75,77,77,77,75,71,42,42,74,36,37,39,74,77,69,74,76,69,73,74,58,77,79,63
aguilar,abel aguilar,75,deportivo cali,liga dimayor,colombia,33,185,80,right,38,44,34,66,56,53,73,70,65,70,62,68,59,71,60,51,59,74,80,73,67,81,61,68,70,57,62,75,69,61,78,67,73,78,86
nguyen,lee nguyen,75,new england revolution,major league soccer,united states,31,173,68,right,74,77,71,76,80,79,73,75,76,74,72,72,71,73,71,68,76,42,43,42,41,44,34,73,78,67,72,74,70,75,62,47,67,61,63
cerci,alessio cerci,75,hellas verona,calcio a,italy,30,180,78,left,83,81,84,78,72,77,65,80,79,75,71,71,68,72,77,71,76,33,41,59,24,31,24,73,68,77,74,75,67,79,62,66,35,75,62
pieters,erik pieters,75,stoke city,premier league,holland,29,183,83,left,66,63,69,67,65,57,71,73,64,67,40,61,32,51,36,34,65,78,77,73,77,80,81,65,61,58,56,75,60,67,78,68,75,77,85
