full name,name,club,nation,overall,league,age,height,reactions,positioning,penalties,long passing,standing tackle,ball control,interceptions,acceleration,marking,strength,pac,aggression,agility,volleys,sprint speed,phy,pas,sliding tackle,long_shots,short passing,shot power,curve,dri,jumping,vision,crossing,finishing,balance,heading accuracy,defending,sho,free kick accuracy,composure,foot,dribbling,stamina
ioannis fetfatzidis,fetfatzidis,al ahli,greece,76,dawry jameel,27,165,71,68,65,63,30,82,23,90,24,47,83,50,91,64,78,55,73,20,67,77,64,68,80,43,74,74,63,91,25,25,64,67,61,left,78,78
khouma babacar,babacar,fiorentina,senegal,76,calcio a,25,185,70,77,70,46,26,76,20,73,20,80,76,58,71,76,78,73,55,24,62,64,82,64,72,76,48,50,79,60,74,28,76,60,70,right,72,69
jordan ayew,ayew,swansea city,ghana,76,premier league,26,182,76,72,74,60,22,78,35,75,23,74,74,75,79,74,74,74,70,25,74,74,76,77,78,72,70,70,73,71,76,31,74,71,70,right,80,74
jonas martin,martin,rc strasbourg alsace,france,76,ligue 1 conforama,27,184,78,68,76,75,75,77,65,67,63,73,70,76,65,63,72,74,76,68,71,80,74,72,74,61,73,74,70,63,57,67,71,67,80,right,73,79
papy djilobodji,djilobodji,dijon fco,senegal,76,ligue 1 conforama,29,193,62,38,27,73,78,61,72,68,71,86,70,88,48,23,71,81,52,83,66,65,77,27,50,75,50,22,32,47,74,75,47,60,51,left,42,68
celso ortiz,ortiz,monterrey,paraguay,76,liga bancomer mx,29,175,74,69,40,60,79,75,82,70,73,75,69,72,73,55,68,77,66,71,64,77,70,63,73,71,69,53,48,76,44,74,57,43,77,left,71,87
billy ketkeophomphone,ketkeophomphone,angers sco,france,76,ligue 1 conforama,27,180,77,78,54,72,16,78,42,82,15,59,81,35,83,68,81,58,74,18,69,76,74,71,78,76,71,76,74,72,69,26,72,77,72,right,78,70
oscar murillo,murillo,pachuca,colombia,76,liga bancomer mx,29,183,70,29,32,65,77,56,79,66,80,83,70,79,53,22,73,78,55,68,35,61,43,35,51,85,44,59,42,51,75,77,39,27,48,left,46,66
bibras natcho,natcho,cska moscow,israel,76,russian football premier league,30,176,78,68,84,82,72,82,72,57,73,70,62,71,76,65,66,68,79,64,74,80,73,75,77,54,80,76,70,79,57,70,72,76,84,right,73,66
nampalys mendy,mendy,ogc nice,france,76,ligue 1 conforama,25,168,73,55,55,73,74,78,74,72,74,72,71,79,78,43,70,76,71,75,64,79,62,69,74,79,66,67,49,86,65,73,55,48,70,right,70,81
felipe dal bello,felipe,spal,brazil,75,calcio a,33,188,72,29,35,64,80,60,81,36,80,69,43,70,49,19,48,66,51,76,40,62,68,49,53,70,46,34,20,63,74,79,35,21,68,left,44,55
paolo cannavaro,cannavaro,sassuolo,italy,75,alka superliga,36,185,66,35,47,68,76,60,80,34,74,75,32,80,59,33,31,66,52,75,51,62,72,24,53,80,50,39,30,43,78,76,44,24,69,right,45,36
emiliano moretti,moretti,torino,italy,75,calcio a,36,182,70,31,49,56,76,64,84,48,78,73,42,74,48,27,38,67,50,73,39,59,56,52,57,73,31,51,16,65,74,78,32,33,76,left,49,50
etienne didot,didot,en avant de guingamp,france,75,ligue 1 conforama,34,178,74,67,65,79,72,74,74,45,72,68,40,76,69,63,36,70,78,70,65,80,65,69,71,62,78,78,60,75,61,71,63,73,77,right,69,69
mathieu bodmer,bodmer,amiens sc,france,75,ligue 1 conforama,35,190,73,70,70,78,74,80,70,33,70,81,34,68,51,64,34,72,76,70,68,80,70,76,73,64,81,64,50,38,76,72,60,60,78,right,76,58
massimo maccarone,maccarone,brisbane roar,italy,75,hyundai a-league,38,180,72,80,75,49,27,79,21,68,25,70,69,51,69,76,69,62,64,29,76,69,78,73,76,65,65,61,80,75,60,29,78,73,79,right,75,54
chris brunt,brunt,west bromwich albion,northern ireland,75,premier league,33,185,74,70,74,79,71,77,67,63,65,66,59,69,65,58,56,67,79,63,79,78,86,86,74,77,74,85,67,61,61,67,73,70,65,left,77,65
tom huddlestone,huddlestone,derby county,england,75,efl championship,31,188,73,63,72,79,68,82,74,34,70,87,43,77,33,79,50,71,79,66,75,81,89,68,67,56,84,76,60,44,72,70,70,74,80,right,64,39
wayne routledge,routledge,swansea city,england,75,premier league,33,170,73,72,63,72,37,77,39,71,30,67,72,36,79,71,72,61,70,46,55,73,68,61,80,71,74,74,69,87,34,36,66,28,69,right,83,68
alberto aquilani,aquilani,ud las palmas,italy,75,laliga santander,33,186,67,65,70,81,61,79,65,53,53,67,54,61,75,75,55,62,80,58,77,80,81,80,75,68,82,78,61,60,66,60,70,75,76,right,75,53
hamit altintop,altintop,sv darmstadt 98,turkey,75,alka superliga,35,183,78,65,71,82,74,79,70,48,68,74,51,76,67,72,53,69,77,67,80,79,81,64,76,55,78,74,62,68,60,69,70,72,84,right,75,58
michael dawson,dawson,hull city,england,75,efl championship,34,188,72,35,44,71,77,57,75,31,77,80,29,80,50,23,28,74,44,73,21,56,62,23,39,80,43,19,25,52,80,76,33,11,70,right,17,54
emil hallfresson,hallfresson,udinese,iceland,75,calcio a,33,185,70,68,69,77,72,77,75,67,66,77,67,76,63,64,67,75,76,68,76,79,80,74,73,69,74,72,51,69,66,70,64,72,75,left,74,70
stijn schaars,schaars,sc heerenveen,holland,75,eredivisie,34,177,72,63,76,84,67,74,80,36,64,67,34,72,57,67,32,67,78,69,70,78,75,75,69,40,76,77,61,65,63,68,67,76,82,left,68,68
franco brienza,brienza,bari,italy,75,calcio b,38,168,76,70,79,76,54,84,68,72,46,44,67,50,82,74,63,48,79,58,78,80,78,80,82,50,83,76,56,91,33,53,68,75,78,left,80,54
glen johnson,johnson,stoke city,england,75,premier league,33,182,74,69,60,70,76,77,68,74,75,72,71,71,72,56,69,72,72,77,70,75,79,69,76,77,69,75,54,67,68,73,63,54,72,right,78,71
jonathan walters,walters,burnley,republic of ireland,75,premier league,34,183,77,76,74,63,58,73,61,62,56,83,63,81,73,67,64,82,70,49,69,73,75,64,72,75,69,74,75,68,76,59,73,56,73,right,72,84
luca rigoni,rigoni,genoa,italy,75,calcio a,33,185,75,70,51,76,74,75,73,68,69,70,69,76,62,60,69,73,72,70,75,78,79,49,71,72,73,65,61,58,69,71,67,59,76,right,70,77
christian maggio,maggio,napoli,italy,75,calcio a,36,184,76,74,57,72,75,77,67,73,65,76,74,72,73,79,75,76,70,75,69,74,75,71,73,89,58,77,67,67,74,70,69,55,78,right,70,78
rio mavuba,mavuba,sparta praha,france,75,ceska liga,34,172,73,49,57,73,75,73,76,60,75,73,60,76,66,38,60,74,70,74,61,76,68,58,69,77,64,66,42,80,66,74,52,62,68,right,65,75
ashley young,young,manchester united,england,75,premier league,32,175,79,68,65,69,68,79,67,79,64,57,77,58,81,73,76,61,77,63,70,77,75,86,78,57,75,84,65,77,54,65,69,72,65,right,78,73
aiden mcgeady,mcgeady,sunderland,republic of ireland,75,efl championship,31,177,72,70,77,69,41,81,51,78,34,58,77,72,91,70,76,62,72,29,77,73,75,77,81,57,68,76,66,75,60,42,71,74,73,right,82,64
ryan babel,babel,besiktas jk,holland,75,super lig,31,185,71,71,70,60,28,78,34,83,33,75,81,58,77,67,79,70,67,21,79,71,85,70,79,81,67,69,66,74,69,34,73,47,75,right,82,66
sylvain marveaux,marveaux,fc lorient,france,75,dominos ligue 2,31,172,72,57,73,76,60,77,35,79,57,58,71,63,80,72,65,63,76,49,72,77,77,74,76,63,77,75,70,84,55,52,71,79,76,left,75,72
nana asare,asare,kaa gent,ghana,75,belgium pro league,31,172,76,69,66,73,76,77,82,80,75,62,79,76,82,61,78,71,73,74,67,74,62,68,77,89,75,72,53,83,65,76,59,65,80,left,74,83
pirmin schwegler,schwegler,hannover 96,switzerland,75,bundesliga,31,178,74,68,66,78,73,74,78,53,67,66,42,65,74,65,33,68,76,73,77,79,77,60,74,76,78,71,61,74,68,72,68,74,81,right,73,72
leonardo pisculichi,pisculichi,argentinos juniors,argentina,75,primera division,34,175,70,65,78,74,29,77,50,72,20,56,70,61,76,67,69,59,78,23,77,78,79,80,76,72,77,80,64,76,62,33,70,78,76,left,76,61
matias silvestre,silvestre,sampdoria,italy,75,calcio a,33,185,63,47,53,68,79,62,71,40,76,77,48,69,62,36,54,72,56,75,57,64,72,56,56,88,50,37,32,58,79,76,47,55,65,right,48,60
roberto trashorras gayoso,trashorras,rayo vallecano,spain,75,alka superliga,37,179,69,63,80,77,67,80,75,40,67,70,36,71,45,59,32,70,77,66,73,80,71,80,66,43,78,69,59,57,59,68,65,80,66,right,62,75
timofey kalachev,kalachev,fc rostov,belarus,75,russian football premier league,36,173,71,71,71,76,70,76,77,74,69,56,71,76,71,60,69,64,77,72,73,77,70,78,75,70,74,80,71,83,46,69,71,77,69,right,75,68
fernando amorebieta,amorebieta,independiente,venezuela,75,primera division,32,191,68,29,57,52,74,57,72,32,73,87,31,88,30,54,30,83,54,81,42,60,68,42,49,63,54,54,39,35,75,74,47,35,69,left,45,75
oleg ivanov,ivanov,akhmat grozny,russia,75,russian football premier league,31,192,79,65,65,75,64,79,55,69,63,82,69,80,56,65,69,80,75,60,71,76,75,63,73,62,81,75,68,42,66,62,70,65,66,right,76,81
marcos angeleri,angeleri,san lorenzo de almagro,argentina,75,primera division,34,182,78,40,56,65,79,58,71,67,74,79,65,84,63,42,64,79,56,76,41,58,71,56,56,82,46,60,37,55,65,74,46,47,79,right,49,75
younes kaboul,kaboul,watford,france,75,premier league,32,193,66,51,54,54,75,59,74,46,72,85,52,81,53,34,57,79,56,74,56,64,82,44,55,78,51,56,21,46,80,74,44,43,65,right,52,67
sebastian larsson,larsson,hull city,sweden,75,efl championship,32,178,76,70,78,74,61,77,59,55,64,67,55,82,65,74,55,73,80,60,79,76,81,86,74,70,78,90,72,75,66,62,76,84,75,right,74,79
bradley wright-phillips,wright-phillips,new york red bulls,england,75,major league soccer,33,173,82,82,67,45,24,70,42,73,19,65,73,65,74,71,73,68,58,15,67,62,75,61,70,76,64,54,82,78,65,29,76,50,77,right,67,75
lior refaelov,refaelov,club brugge kv,israel,75,belgium pro league,31,175,72,78,74,69,25,78,29,69,16,49,67,38,76,75,65,50,73,26,76,74,71,73,78,66,77,71,74,73,43,25,74,67,76,right,80,59
stephen ward,ward,burnley,republic of ireland,75,premier league,32,184,76,58,62,68,76,71,74,66,74,77,67,75,66,66,67,78,68,75,54,71,63,69,69,72,64,72,58,63,70,74,59,55,68,left,69,82
roman shishkin,shishkin,fc krasnodar,russia,75,russian football premier league,31,177,75,60,56,73,74,75,75,77,76,59,75,73,77,37,73,66,73,76,65,74,64,70,71,74,69,75,61,72,57,73,61,71,67,right,66,73
rasmus elm,elm,kalmar ff,sweden,75,allsvenskan,30,184,82,70,84,80,60,79,77,54,63,69,51,62,72,77,48,58,80,58,74,78,78,85,74,47,83,79,60,72,62,64,69,85,86,right,69,36
jose carlos goncalves rodrigues,zeca,fc kbenhavn,greece,75,alka superliga,29,180,75,67,61,74,76,78,68,78,66,67,76,80,75,65,75,74,74,71,64,78,70,66,75,66,72,74,63,74,55,69,65,65,75,right,73,86
danijel milicevic,milicevic,kaa gent,bosnia and herzegovina,75,ligue 1 conforama,32,171,72,75,66,77,25,75,38,72,29,47,69,39,76,76,67,52,78,30,77,76,75,79,74,59,77,80,73,80,41,31,74,82,78,right,71,73
julian omar ramos suarez,omar ramos,cd leganes,spain,75,laliga santander,30,175,65,69,73,67,32,75,30,79,27,55,78,58,85,54,77,59,74,35,70,74,62,84,78,67,76,78,63,79,46,32,65,61,70,left,81,67
sergio floccari,floccari,spal,italy,75,calcio a,36,180,68,79,72,48,20,74,20,64,16,75,66,48,67,66,68,68,60,16,68,68,76,66,72,83,60,56,81,70,76,24,76,60,76,right,72,68
danny simpson,simpson,leicester city,england,75,premier league,31,177,76,58,54,60,77,69,77,70,78,72,69,79,65,50,68,76,61,76,54,64,37,44,67,79,63,68,27,80,71,77,38,32,67,right,64,79
charlie daniels,daniels,bournemouth,england,75,premier league,31,178,70,71,72,69,76,74,71,77,72,72,76,51,73,32,75,70,72,74,46,73,68,67,73,78,71,74,48,72,64,72,53,68,68,left,73,79
andrey eschenko,eschenko,spartak moscow,russia,75,russian football premier league,34,176,73,65,55,70,74,73,74,78,70,67,80,76,78,39,81,72,68,76,50,69,56,50,69,50,69,73,61,86,66,72,57,49,76,right,62,82
nicolas spolli,spolli,genoa,argentina,75,calcio a,35,193,60,20,33,45,78,49,79,32,79,92,41,73,32,35,49,75,34,74,22,45,72,19,46,68,25,25,36,32,78,78,39,18,73,right,45,45
hugo ayala,ayala,tigres u.a.n.l.,mexico,75,liga bancomer mx,30,183,77,44,55,62,78,67,76,66,76,74,63,64,63,46,60,72,60,78,57,66,65,46,60,67,55,61,52,52,71,76,55,41,75,right,51,74
james mcarthur,mcarthur,crystal palace,scotland,75,premier league,30,178,77,73,67,74,74,77,78,65,70,73,62,86,72,51,60,76,72,70,61,78,65,54,72,61,71,66,56,78,66,72,60,61,77,right,66,78
alberto de la bella madueno,de la bella,real sociedad,spain,75,laliga santander,32,182,75,58,49,71,77,74,80,58,78,70,60,65,64,32,61,68,69,79,68,74,57,67,69,66,61,74,45,57,71,78,52,38,66,left,67,67
manuel garcia sanchez,manu garcia,d. alaves,spain,75,laliga santander,31,182,74,58,71,69,78,67,79,53,62,78,59,91,66,42,64,81,66,72,46,75,74,52,64,79,58,65,60,65,67,72,60,54,72,left,59,78
andrew surman,surman,bournemouth,england,75,premier league,31,178,69,65,67,76,68,74,65,62,62,69,61,68,63,55,60,71,75,62,65,82,67,61,72,71,76,68,63,72,59,64,64,68,73,left,72,77
guilherme madalena siqueira,siqueira,atletico madrid,brazil,75,alka superliga,31,183,75,57,82,80,74,75,76,69,70,69,72,80,69,45,75,70,71,80,59,68,80,82,73,75,58,80,56,58,68,73,62,68,66,left,75,65
benny feilhaber,feilhaber,sporting kansas city,united states,75,major league soccer,33,175,77,68,78,73,68,79,58,64,60,66,63,72,81,74,63,69,74,63,70,76,76,76,77,61,76,69,64,78,56,62,69,74,80,right,74,76
nathan dyer,dyer,swansea city,england,75,premier league,30,167,67,72,70,65,45,77,35,85,33,55,83,69,85,52,82,63,67,48,74,74,75,58,79,72,66,64,73,93,32,38,72,42,67,right,80,72
jose luis sanmartin mato,joselu,newcastle united,spain,75,premier league,27,192,74,78,72,49,24,76,19,61,17,71,62,57,67,75,63,67,64,15,71,70,77,76,72,64,68,58,75,53,80,26,75,71,65,right,74,68
adrian lopez alvarez,adrian,rc deportivo,spain,75,laliga santander,30,183,75,78,67,55,19,84,32,68,21,68,66,58,74,74,65,63,67,16,69,73,74,76,80,74,71,60,74,64,68,27,73,57,66,right,82,53
gonzalo castro,castro,malaga cf,uruguay,75,laliga santander,33,178,80,79,64,58,42,80,40,74,23,58,72,53,77,63,70,57,71,37,69,72,72,72,80,68,73,76,71,82,55,37,70,69,77,left,80,57
niko bungert,bungert,1. fsv mainz 05,germany,75,bundesliga,31,188,78,35,42,60,80,55,76,62,78,75,64,60,60,36,65,69,52,77,33,68,59,30,53,69,37,42,35,62,77,78,40,48,73,right,44,65
dmytro chygrynskyi,chygrynskyi,aek athens,ukraine,75,hellas liga,31,189,68,36,38,72,78,58,74,48,77,87,50,76,40,32,52,78,59,73,42,69,53,43,46,55,59,40,32,42,76,76,39,48,67,right,35,66
christian marrugo,marrugo,puebla,colombia,75,liga bancomer mx,32,177,76,75,63,76,51,75,54,72,51,59,71,57,71,70,70,59,75,49,68,78,70,58,73,33,78,73,66,68,58,52,68,57,75,right,72,67
simone missiroli,missiroli,sassuolo,italy,75,calcio a,31,191,75,75,64,72,71,76,73,66,60,62,67,60,63,66,68,66,72,63,61,76,68,68,72,64,72,68,66,36,60,66,66,60,73,right,74,78
andreas beck,beck,vfb stuttgart,germany,75,bundesliga,31,180,76,47,42,71,75,74,74,73,78,67,71,74,73,32,69,71,70,73,62,75,70,77,74,66,59,72,29,71,71,75,46,65,75,right,74,78
ola toivonen,toivonen,toulouse football club,sweden,75,ligue 1 conforama,31,192,75,75,71,69,37,76,42,51,36,79,53,63,64,75,54,74,74,39,77,76,77,73,73,58,77,69,77,52,74,42,76,74,76,right,74,77
abel aguilar,aguilar,deportivo cali,colombia,75,liga dimayor,33,185,73,68,59,69,81,70,80,44,67,78,38,86,56,51,34,78,68,61,60,75,71,61,66,67,70,57,59,53,73,74,62,62,70,right,65,73
lee nguyen,nguyen,new england revolution,united states,75,major league soccer,31,173,73,72,76,70,44,75,43,77,41,61,74,63,80,68,71,62,73,34,71,74,73,75,76,47,78,67,71,79,42,42,72,72,74,right,76,67
alessio cerci,cerci,hellas verona,italy,75,calcio a,30,180,65,71,76,67,31,80,41,81,24,75,83,62,72,71,84,62,73,24,77,75,72,79,78,66,68,77,68,77,59,33,71,74,75,left,79,35
erik pieters,pieters,stoke city,holland,75,premier league,29,183,71,61,65,60,80,73,77,63,77,77,66,85,65,34,69,78,65,81,36,75,51,67,67,68,61,58,32,57,73,78,40,56,67,left,64,75
fernando lopes dos santos varela,varela,paok,cape verde islands,75,hellas liga,30,185,67,44,54,51,77,62,74,69,75,87,67,78,58,38,66,82,54,74,42,56,45,51,59,82,52,59,43,72,73,75,44,47,66,right,55,75
miguel torres gomez,miguel torres,malaga cf,spain,75,laliga santander,32,185,73,44,36,59,81,74,79,58,78,76,59,75,57,30,59,74,64,80,47,70,56,56,64,70,56,71,22,63,68,78,36,58,67,right,57,71
marko marin,marin,olympiacos cfp,germany,75,hellas liga,29,170,64,70,58,66,23,81,25,77,26,32,74,35,85,74,72,42,74,22,68,75,64,82,81,67,77,72,60,90,42,26,64,74,72,right,82,61
ola kamara,kamara,columbus crew sc,norway,75,major league soccer,28,184,75,79,71,41,20,77,34,74,49,77,76,72,72,77,78,76,54,19,64,61,73,61,71,75,59,50,77,70,68,36,73,37,74,right,66,76
nuno miguel sousa pinto,nuno pinto,vitoria setubal,portugal,75,liga nos,31,173,79,66,58,68,75,74,73,76,71,60,75,69,78,44,74,68,70,73,59,73,67,73,74,70,60,76,49,73,56,71,56,74,70,left,72,83
eren derdiyok,derdiyok,galatasaray sk,switzerland,75,super lig,29,191,70,80,67,61,29,73,26,38,12,90,41,46,52,79,44,71,66,18,71,71,78,60,67,70,70,60,77,46,83,28,76,64,70,right,68,54
dejan damjanovic,damjanovic,fc seoul,montenegro,75,k league classic,36,187,75,76,72,54,21,71,35,69,20,82,67,70,70,74,65,76,65,23,71,67,77,63,68,77,72,61,79,63,78,29,76,66,62,right,67,68
cristian chagas tarouco,titi,bursaspor,brazil,75,super lig,30,188,69,42,71,37,80,68,79,32,74,88,34,80,47,50,36,75,43,77,22,42,69,49,55,46,49,40,27,45,76,77,38,45,62,left,46,52
brian sarmiento,sarmiento,newell's old boys,argentina,75,primera division,27,166,66,67,68,68,22,72,42,93,20,50,88,41,92,64,84,50,74,19,68,76,71,73,77,54,75,74,68,91,46,28,68,74,68,right,78,58
yohan benalouane,benalouane,leicester city,tunisia,75,premier league,30,185,67,46,38,63,76,60,78,64,73,82,64,87,60,48,64,79,57,75,39,64,68,51,55,79,40,61,24,59,67,74,39,52,63,right,47,67
giovanni sio,sio,montpellier herault sc,cote d'ivoire,75,ligue 1 conforama,28,180,71,74,72,67,18,75,18,78,17,73,82,77,81,72,85,75,71,12,74,73,76,73,75,70,73,68,75,74,70,22,75,69,69,left,74,78
mathias jrgensen,jrgensen,huddersfield town,denmark,75,premier league,27,191,66,46,27,68,76,66,71,66,70,84,69,84,62,40,71,82,61,71,30,74,61,30,57,73,65,47,34,55,76,73,39,26,71,right,48,78
nabil el zhar,el zhar,cd leganes,morocco,75,laliga santander,31,171,73,72,72,60,38,74,37,78,23,60,74,58,84,59,71,62,71,36,71,73,81,75,78,62,74,74,72,76,49,34,73,58,65,right,81,68
slobodan rajkovic,rajkovic,palermo,serbia,75,calcio b,29,191,68,29,41,59,78,50,67,62,73,91,69,87,34,15,75,84,47,73,18,57,71,36,46,55,34,39,20,42,75,74,31,28,63,left,42,72
bakary kone,kone,rc strasbourg alsace,burkina faso,75,ligue 1 conforama,29,188,60,41,53,62,77,55,74,62,69,79,61,77,70,35,61,75,50,86,37,61,65,46,51,86,41,33,31,54,79,75,41,37,67,right,41,63
jonathan biabiany,biabiany,sparta praha,france,75,ceska liga,29,177,67,72,63,54,30,76,24,95,20,66,96,58,86,68,96,66,66,30,57,71,70,67,77,64,63,72,66,80,53,28,65,47,65,right,77,74
sergio tejera rodriguez,sergio tejera,nastic,spain,75,laliga 1 i 2 i 3,27,180,70,66,70,75,69,78,66,67,67,68,66,83,70,58,66,72,75,68,74,78,72,77,74,56,75,67,68,64,45,65,70,77,72,left,74,73
ricky van wolfswinkel,van wolfswinkel,fc basel,holland,75,raiffeisen super league,29,186,75,82,80,62,38,74,46,65,22,74,63,51,62,77,62,67,64,26,68,68,69,73,71,71,69,54,78,71,74,37,74,51,71,right,70,66
martin olsson,olsson,swansea city,sweden,75,premier league,29,178,73,69,49,66,76,70,69,79,74,72,82,74,74,65,84,76,67,73,64,69,75,64,71,73,66,69,55,64,64,72,62,53,72,left,72,86
adam szalai,szalai,tsg 1899 hoffenheim,hungary,75,bundesliga,30,193,76,76,76,48,41,74,41,46,27,87,48,74,62,68,49,78,60,13,64,72,82,58,70,64,65,49,74,58,83,38,74,42,75,right,70,66
geoffrey bia,bia,kayserispor,belgium,75,super lig,28,180,73,74,79,71,22,72,21,84,13,71,81,23,76,77,79,60,73,19,78,72,81,70,75,86,74,76,75,78,38,20,77,72,78,right,77,64
andrea poli,poli,bologna,italy,75,calcio a,28,182,66,66,68,74,60,79,66,75,56,65,76,70,75,69,77,69,75,60,70,80,70,72,77,68,78,68,54,75,56,60,62,68,74,right,78,75
diego angelo de oliveira,diego angelo,antalyaspor,brazil,75,super lig,32,192,65,57,59,66,78,62,78,50,78,86,45,75,31,28,41,79,66,74,72,68,84,63,57,36,57,70,52,33,78,78,62,77,59,left,60,75
james chester,chester,aston villa,wales,75,efl championship,29,181,67,44,52,61,77,63,72,68,76,78,70,72,72,27,72,74,58,76,31,69,36,47,64,84,49,54,33,71,73,75,34,44,73,right,60,65
patrick van aanholt,van aanholt,crystal palace,holland,75,premier league,27,176,76,73,46,74,76,72,67,87,65,65,86,73,77,53,86,72,67,75,64,73,70,38,74,86,64,62,61,78,64,70,63,61,65,left,74,84
theodor gebre selassie,gebre selassie,sv werder bremen,czech republic,75,bundesliga,31,181,72,64,51,68,74,76,72,77,67,67,77,68,76,49,77,72,68,73,39,74,62,52,74,84,59,74,46,68,80,72,49,58,70,right,74,82
joel ward,ward,crystal palace,england,75,premier league,28,188,73,64,40,69,78,67,77,64,76,78,65,74,66,33,65,76,67,77,63,70,68,43,66,66,68,73,46,61,75,77,54,34,73,right,64,77
matt ritchie,ritchie,newcastle united,scotland,75,premier league,28,173,73,74,72,66,54,75,46,77,56,61,75,70,74,75,74,68,72,53,77,71,76,72,75,72,74,76,73,84,38,51,74,65,68,left,76,78
franco di santo,di santo,fc schalke 04,argentina,75,bundesliga,28,193,74,74,75,53,30,76,38,66,22,77,72,76,66,80,77,74,64,23,72,70,77,70,73,61,67,60,74,59,72,33,75,49,73,right,75,69
filip orevic,orevic,lazio,serbia,75,calcio a,30,186,74,77,70,55,36,72,48,68,35,78,68,74,65,74,68,75,59,32,62,66,80,59,69,76,62,48,76,64,80,42,74,55,74,left,68,68
kyle naughton,naughton,swansea city,england,75,premier league,29,180,70,54,47,66,78,68,73,74,71,68,74,68,71,52,74,70,65,79,52,73,68,43,67,73,59,71,45,70,70,74,52,28,67,right,64,74
matias perez garcia,perez garcia,club atletico tigre,argentina,75,primera division,33,165,74,67,69,75,19,79,43,84,13,56,81,69,82,55,79,61,74,24,68,73,73,79,78,34,75,73,59,90,45,25,64,80,76,left,75,69
christian trasch,trasch,fc ingolstadt 04,germany,75,bundesliga 2,30,180,75,63,51,74,76,73,76,67,70,74,71,78,66,60,75,76,72,76,74,75,81,65,70,71,72,75,46,65,64,73,60,41,76,right,69,81
jesus duenas,duenas,tigres u.a.n.l.,mexico,75,liga bancomer mx,29,174,71,70,62,72,72,70,74,78,69,69,77,80,76,67,76,76,73,70,70,79,74,74,72,70,70,69,57,76,68,71,64,63,73,right,71,90
jorge hernandez,hernandez,pachuca,mexico,75,liga bancomer mx,28,170,69,56,69,74,72,75,75,67,70,68,70,84,68,71,73,77,71,69,69,75,74,71,70,81,73,64,49,75,56,70,60,63,75,right,67,89
clement grenier,grenier,olympique lyonnais,france,75,ligue 1 conforama,27,186,72,66,73,80,58,79,59,53,49,71,52,63,75,72,52,65,78,51,79,79,82,76,77,66,77,74,62,68,71,56,71,82,74,right,77,54
matias suarez,suarez,belgrano de cordoba,argentina,75,primera division,29,183,75,77,68,68,29,75,18,70,14,63,69,33,74,74,68,53,72,24,73,74,72,73,74,67,74,71,70,70,62,25,71,70,75,right,74,47
jefferson nascimento,jefferson,sc braga,brazil,75,liga nos,29,176,73,72,63,75,75,74,69,78,69,71,77,72,74,71,77,73,74,75,82,73,85,81,74,71,68,81,61,79,54,70,71,76,68,left,75,78
leon balogun,balogun,1. fsv mainz 05,nigeria,75,bundesliga,29,190,68,49,39,64,75,62,75,66,70,84,70,75,55,32,74,79,62,76,60,69,70,59,61,75,47,69,30,52,78,74,46,38,72,right,60,73
floyd ayite,ayite,fulham,togo,75,efl championship,29,174,70,76,60,63,26,77,22,84,19,61,85,48,81,67,85,58,69,20,68,71,73,69,77,56,67,73,73,77,58,26,71,70,63,right,78,60
mubarak wakaso,wakaso,d. alaves,ghana,75,laliga santander,27,171,74,69,36,69,72,73,69,90,52,74,89,82,85,77,89,78,71,69,68,74,85,66,74,85,69,74,55,85,47,63,64,57,65,left,73,82
carlos villanueva,villanueva,al ittihad,chile,75,dawry jameel,32,173,72,65,73,77,44,76,42,63,38,44,63,40,88,81,63,50,75,36,78,78,79,75,78,33,79,63,63,82,41,41,71,80,72,left,78,73
abel hernandez,hernandez,hull city,uruguay,75,efl championship,27,185,74,74,77,47,29,73,24,87,19,76,85,59,81,72,83,71,58,22,68,67,73,77,74,73,57,46,73,68,73,29,72,60,74,left,74,69
jake livermore,livermore,west bromwich albion,england,75,premier league,28,180,74,61,57,75,72,75,76,65,70,77,64,83,65,59,64,80,72,66,69,78,72,69,73,69,73,65,64,72,69,71,66,58,79,right,72,84
miguel angel britos,britos,watford,uruguay,75,premier league,32,190,68,24,51,64,78,58,75,48,75,79,50,76,49,22,51,74,50,76,31,60,30,47,53,83,31,43,37,54,75,76,34,52,66,left,47,62
jonathan kodjia,kodjia,aston villa,cote d'ivoire,75,efl championship,28,189,68,80,71,43,20,72,22,84,17,77,83,59,83,62,83,73,55,19,64,64,74,56,75,83,55,49,76,68,72,25,72,56,65,right,77,76
mauro diaz,diaz,fc dallas,argentina,75,major league soccer,27,170,75,75,69,72,45,78,32,77,45,54,72,60,87,62,67,57,72,32,66,72,70,75,77,58,76,68,67,86,54,42,68,74,74,right,74,62
caiuby fr. da silva,caiuby,fc augsburg,brazil,75,bundesliga,29,184,73,69,61,64,24,74,49,78,17,78,83,73,74,54,87,78,69,22,67,72,76,68,73,91,73,69,71,66,80,32,70,49,61,right,75,79
jimmy durmaz,durmaz,toulouse football club,sweden,75,ligue 1 conforama,28,180,71,65,71,73,44,75,22,82,30,53,80,75,77,68,78,62,74,30,72,75,77,76,77,53,71,74,69,76,22,32,71,76,75,left,80,71
joao miguel coimbra aurelio,joao aurelio,vitoria guimaraes,portugal,75,liga nos,29,182,73,72,58,78,77,76,68,69,70,72,68,74,72,60,68,76,74,74,69,75,73,70,74,73,70,78,57,61,70,72,64,58,72,right,74,85
